1|101|50
1|102|30
1|103|45
1|105|60
1|108|40
1|110|55
1|115|35
1|120|48
1|125|42
1|130|38
1|135|50
1|140|45
1|150|30
1|160|25
1|170|40
1|180|35
1|190|50
1|200|45
2|101|20
2|102|45
2|104|30
2|105|40
2|106|55
2|109|35
2|112|48
2|118|42
2|122|50
2|128|38
2|133|45
2|142|40
2|155|35
2|165|50
2|175|45
2|185|40
2|195|35
2|205|48
3|103|10
3|105|30
3|106|35
3|107|12
3|108|56
3|111|45
3|116|38
3|121|50
3|126|42
3|131|48
3|138|35
3|145|40
3|158|45
3|168|50
3|178|35
3|188|42
3|198|48
3|208|40
4|101|35
4|104|48
4|107|30
4|110|42
4|113|55
4|119|38
4|124|50
4|129|45
4|134|40
4|141|48
4|152|35
4|162|42
4|172|50
4|182|45
4|192|38
4|202|50
4|212|45
5|102|42
5|105|55
5|108|38
5|111|50
5|114|45
5|117|42
5|123|48
5|127|40
5|137|35
5|147|50
5|157|45
5|167|40
5|177|48
5|187|35
5|197|42
5|207|50
5|217|45
6|103|48
6|106|40
6|109|35
6|112|50
6|115|42
6|120|45
6|125|38
6|132|50
6|143|42
6|153|48
6|163|40
6|173|35
6|183|50
6|193|45
6|203|40
6|213|48
7|101|45
7|104|38
7|107|50
7|110|42
7|113|48
7|118|35
7|126|50
7|136|45
7|146|40
7|156|48
7|166|35
7|176|42
7|186|50
7|196|45
7|206|40
7|216|48
8|102|50
8|105|42
8|108|45
8|111|38
8|114|50
8|119|42
8|128|48
8|139|40
8|149|35
8|159|50
8|169|45
8|179|40
8|189|48
8|199|35
8|209|42
8|219|50
9|103|42
9|106|48
9|109|40
9|112|35
9|116|50
9|121|45
9|130|42
9|140|48
9|151|40
9|161|35
9|171|50
9|181|45
9|191|40
9|201|48
9|211|35
9|220|42
10|101|38
10|104|50
10|107|42
10|110|48
10|115|40
10|122|35
10|131|50
10|144|45
10|154|42
10|164|48
10|174|40
10|184|35
10|194|50
10|204|45
10|214|42
11|102|45
11|105|38
11|108|50
11|113|42
11|117|48
11|123|40
11|133|35
11|148|50
11|158|45
11|168|42
11|178|48
11|188|40
11|198|35
11|208|50
11|218|45
12|103|50
12|106|42
12|109|48
12|114|40
12|120|35
12|127|50
12|135|45
12|150|42
12|160|48
12|170|40
12|180|35
12|190|50
12|200|45
12|210|42
13|101|42
13|104|48
13|111|40
13|116|35
13|124|50
13|134|45
13|145|42
13|155|48
13|165|40
13|175|35
13|185|50
13|195|45
13|205|42
13|215|48
14|102|48
14|107|40
14|112|35
14|118|50
14|125|45
14|136|42
14|146|48
14|156|40
14|166|35
14|176|50
14|186|45
14|196|42
14|206|48
14|216|40
15|105|42
15|109|48
15|115|40
15|121|35
15|129|50
15|138|45
15|152|42
15|162|48
15|172|40
15|182|35
15|192|50
15|202|45
15|212|42
15|220|48
16|103|45
16|108|38
16|113|50
16|119|42
16|126|48
16|137|40
16|147|35
16|157|50
16|167|45
16|177|42
16|187|48
16|197|40
16|207|35
16|217|50
17|101|40
17|106|48
17|110|42
17|117|35
17|128|50
17|139|45
17|149|42
17|159|48
17|169|40
17|179|35
17|189|50
17|199|45
17|209|42
17|219|48
18|104|45
18|111|38
18|122|50
18|132|42
18|141|48
18|151|40
18|161|35
18|171|50
18|181|45
18|191|42
18|201|48
18|211|40
18|220|35
19|102|42
19|107|48
19|114|40
19|123|35
19|133|50
19|143|45
19|153|42
19|163|48
19|173|40
19|183|35
19|193|50
19|203|45
19|213|42
20|105|48
20|112|40
20|120|35
20|130|50
20|142|45
20|154|42
20|164|48
20|174|40
20|184|35
20|194|50
20|204|45
20|214|42
20|218|35
